infectados activos,infectados acumulados,dias
1,1,1
1,1,2
1,1,3
2,3,4
3,4,5
7,8,6
12,13,7
12,13,8
16,17,9
18,19,10
18,19,11
18,23,12
20,29,13
21,32,14
25,36,15
22,39,16
21,41,17
26,46,18
21,50,19
23,53,20
20,54,21
19,61,22
18,63,23
21,68,24
18,75,25
19,78,26
24,83,27
30,91,28
29,93,29
33,106,30
33,108,31
41,117,32
43,120,33
43,133,34
42,137,35
47,146,36
72,179,37
69,183,38
84,199,39
76,202,40
67,207,41
88,242,42
113,273,43
122,309,44
124,331,45
137,361,46
147,386,47
158,411,48
189,456,49
219,497,50
247,540,51
273,595,52
274,614,53
281,656,54
281,696,55
301,735,56
288,761,57
296,798,58
309,837,59
280,856,60
279,891,61
268,932,62
289,982,63
291,1035,64
310,1094,65
308,1125,66
311,1164,67
323,1218,68
330,1257,69
358,1337,70
357,1378,71
364,1432,72
386,1500,73
367,1536,74
352,1581,75
329,1616,76
327,1675,77
322,1710,78
327,1785,79
328,1837,80
318,1877,81
310,1933,82
306,1976,83
279,2028,84
276,2075,85
251,2116,86
237,2146,87
203,2167,88
167,2212,89
235,2299,90
231,2357,91
234,2420,92
241,2488,93
235,2544,94
270,2600,95
264,2665,96
270,2741,97
310,2820,98
331,2910,99
355,3006,100
374,3096,101
410,3191,102
491,3351,103
603,3554,104
650,3706,105
718,3841,106
804,4018,107
872,4177,108
885,4265,109
944,4441,110
933,4549,111
933,4631,112
1017,4886,113
990,5011,114
1907,5110,115
1337,5259,116
910,5415,117
938,5580,118
938,5739,119
976,5926,120
996,6117,121
969,6276,122
934,6385,123
1051,6661,124
1064,6826,125
967,6954,126
900,7073,127
825,7165,128
865,7358,129
796,7475,130
712,7576,131
737,7813,132
795,8062,133
853.593,8303.07,134
912.785,8536.46,135
972.581,8762.42,136
1032.99,8981.18,137
1094.01,9192.98,138
1155.66,9398.02,139
1217.94,9596.54,140
